code,ticker,name,market,sector33_code,sector33,size_code,size
1332,1332.T,ニッスイ,プライム（内国株式）,50,水産・農林業,4,TOPIX Mid400
1333,1333.T,Ｕｍｉｏｓ,プライム（内国株式）,50,水産・農林業,4,TOPIX Mid400
1414,1414.T,ショーボンドホールディングス,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1417,1417.T,ミライト・ワン,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1605,1605.T,ＩＮＰＥＸ,プライム（内国株式）,1050,鉱業,4,TOPIX Mid400
1719,1719.T,安藤・間,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1721,1721.T,コムシスホールディングス,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1801,1801.T,大成建設,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1802,1802.T,大林組,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1803,1803.T,清水建設,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1808,1808.T,長谷工コーポレーション,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1812,1812.T,鹿島建設,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1820,1820.T,西松建設,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1860,1860.T,戸田建設,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1878,1878.T,大東建託,プライム（内国株式）,8050,不動産業,4,TOPIX Mid400
1893,1893.T,五洋建設,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1911,1911.T,住友林業,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1925,1925.T,大和ハウス工業,プライム（内国株式）,2050,建設業,2,TOPIX Large70
1928,1928.T,積水ハウス,プライム（内国株式）,2050,建設業,2,TOPIX Large70
1942,1942.T,関電工,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1944,1944.T,きんでん,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1951,1951.T,エクシオグループ,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1959,1959.T,クラフティア,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1963,1963.T,日揮ホールディングス,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
1969,1969.T,高砂熱学工業,プライム（内国株式）,2050,建設業,4,TOPIX Mid400
2002,2002.T,日清製粉グループ本社,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2127,2127.T,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
2181,2181.T,パーソルホールディングス,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
2201,2201.T,森永製菓,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2206,2206.T,江崎グリコ,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2212,2212.T,山崎製パン,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2222,2222.T,寿スピリッツ,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2229,2229.T,カルビー,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2264,2264.T,森永乳業,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2267,2267.T,ヤクルト本社,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2269,2269.T,明治ホールディングス,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2282,2282.T,日本ハム,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2327,2327.T,日鉄ソリューションズ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
2331,2331.T,ＡＬＳＯＫ,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
2371,2371.T,カカクコム,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
2413,2413.T,エムスリー,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
2432,2432.T,ディー・エヌ・エー,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
2433,2433.T,博報堂ＤＹホールディングス,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
2501,2501.T,サッポロビール,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2502,2502.T,アサヒグループホールディングス,プライム（内国株式）,3050,食料品,2,TOPIX Large70
2503,2503.T,キリンホールディングス,プライム（内国株式）,3050,食料品,2,TOPIX Large70
2531,2531.T,宝ホールディングス,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2579,2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2587,2587.T,サントリービバレッジ＆フード,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2593,2593.T,伊藤園,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2607,2607.T,不二製油,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2670,2670.T,エービーシー・マート,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
2768,2768.T,双日,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
2784,2784.T,アルフレッサ　ホールディングス,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
2801,2801.T,キッコーマン,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2802,2802.T,味の素,プライム（内国株式）,3050,食料品,2,TOPIX Large70
2809,2809.T,キユーピー,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2810,2810.T,ハウス食品グループ本社,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2811,2811.T,カゴメ,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
285A,285A.T,キオクシアホールディングス,プライム（内国株式）,3650,電気機器,4,TOPIX Mid400
2871,2871.T,ニチレイ,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2875,2875.T,東洋水産,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2897,2897.T,日清食品ホールディングス,プライム（内国株式）,3050,食料品,4,TOPIX Mid400
2914,2914.T,日本たばこ産業,プライム（内国株式）,3050,食料品,1,TOPIX Core30
3003,3003.T,ヒューリック,プライム（内国株式）,8050,不動産業,4,TOPIX Mid400
3038,3038.T,神戸物産,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
3048,3048.T,ビックカメラ,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3064,3064.T,ＭｏｎｏｔａＲＯ,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3086,3086.T,Ｊ．フロント　リテイリング,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3088,3088.T,マツキヨココカラ＆カンパニー,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3092,3092.T,ＺＯＺＯ,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3099,3099.T,三越伊勢丹ホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3105,3105.T,日清紡ホールディングス,プライム（内国株式）,3650,電気機器,4,TOPIX Mid400
3107,3107.T,ダイワボウホールディングス,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
3116,3116.T,トヨタ紡織,プライム（内国株式）,3700,輸送用機器,4,TOPIX Mid400
3132,3132.T,マクニカホールディングス,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
3197,3197.T,すかいらーくホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3231,3231.T,野村不動産ホールディングス,プライム（内国株式）,8050,不動産業,4,TOPIX Mid400
3288,3288.T,オープンハウスグループ,プライム（内国株式）,8050,不動産業,4,TOPIX Mid400
3289,3289.T,東急不動産ホールディングス,プライム（内国株式）,8050,不動産業,4,TOPIX Mid400
3291,3291.T,飯田グループホールディングス,プライム（内国株式）,8050,不動産業,4,TOPIX Mid400
3349,3349.T,コスモス薬品,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3360,3360.T,シップヘルスケアホールディングス,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
3382,3382.T,セブン＆アイ・ホールディングス,プライム（内国株式）,6100,小売業,1,TOPIX Core30
3391,3391.T,ツルハホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3397,3397.T,トリドールホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3401,3401.T,帝人,プライム（内国株式）,3100,繊維製品,4,TOPIX Mid400
3402,3402.T,東レ,プライム（内国株式）,3100,繊維製品,4,TOPIX Mid400
3405,3405.T,クラレ,プライム（内国株式）,3200,化学,4,TOPIX Mid400
3407,3407.T,旭化成,プライム（内国株式）,3200,化学,2,TOPIX Large70
3436,3436.T,ＳＵＭＣＯ,プライム（内国株式）,3550,金属製品,4,TOPIX Mid400
3563,3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
3591,3591.T,ワコールホールディングス,プライム（内国株式）,3100,繊維製品,4,TOPIX Mid400
