ticker,name,sector33,price,ma25,ma75,price_above_ma25,ma25_above_ma75,cross_status,adx14,plus_di,minus_di,obv_confirm,rsi14,macd,macd_signal,macd_hist,atr14,score
9434.T,ソフトバンク,情報・通信業,235.8,224.7,218.5,True,True,ゴールデンクロス済み,37.4,34.7,13.2,True,63.9,4.26,3.86,0.4,5.0,6.5
6501.T,日立製作所,電気機器,5783.0,5123.8,4955.9,True,True,ゴールデンクロス済み,36.9,37.1,9.4,True,79.7,242.54,184.65,57.9,158.0,6.48
9432.T,ＮＴＴ,情報・通信業,161.3,153.7,150.3,True,True,ゴールデンクロス済み,31.2,38.3,14.8,True,65.3,2.71,2.1,0.61,2.9,6.25
9104.T,商船三井,海運業,6467.0,5850.6,5671.9,True,True,ゴールデンクロス済み,30.9,40.3,12.6,True,71.7,202.15,159.43,42.72,162.1,6.24
7974.T,任天堂,その他製品,8850.0,7549.9,7338.8,True,True,ゴールデンクロス済み,29.7,47.5,14.3,True,71.6,336.37,218.35,118.02,295.4,6.19
8001.T,伊藤忠商事,卸売業,2084.5,1985.4,1935.5,True,True,ゴールデンクロス済み,29.8,30.2,13.3,True,68.0,45.62,38.66,6.97,46.1,6.19
8015.T,豊田通商,卸売業,7345.0,6656.9,6549.3,True,True,ゴールデンクロス済み,28.9,35.3,16.3,True,68.3,278.62,223.92,54.71,240.3,6.16
9101.T,日本郵船,海運業,6399.0,5878.7,5573.3,True,True,ゴールデンクロス済み,28.2,37.1,14.8,True,70.4,182.45,164.22,18.23,157.1,6.13
4503.T,アステラス製薬,医薬品,2357.0,2217.5,2215.4,True,True,ゴールデンクロス済み,22.4,29.9,13.9,True,64.3,44.01,28.19,15.82,61.8,5.9
6702.T,富士通,電気機器,3857.0,3505.1,3405.1,True,True,ゴールデンクロス済み,18.8,39.2,19.4,True,64.9,104.87,81.56,23.31,134.3,5.75
7832.T,バンダイナムコホールディングス,その他製品,5397.0,4532.0,3995.0,True,True,-,51.9,46.9,11.6,True,74.8,351.36,276.2,75.17,202.1,5.0
5401.T,日本製鉄,鉄鋼,673.3,629.9,579.8,True,True,-,50.0,39.6,13.0,True,65.5,29.05,28.41,0.64,16.1,5.0
7203.T,トヨタ自動車,輸送用機器,3017.0,2953.6,2911.1,True,True,ゴールデンクロス済み,21.9,31.2,19.7,False,55.7,29.49,33.52,-4.04,77.7,4.88
2914.T,日本たばこ産業,食料品,7121.0,6629.2,6188.2,True,True,-,43.6,37.9,14.2,True,68.4,242.66,227.54,15.12,161.7,4.74
6098.T,リクルートホールディングス,サービス業,16420.0,13225.6,11098.8,True,True,-,43.2,51.2,14.0,True,78.6,1103.41,696.53,406.88,643.3,4.73
5108.T,ブリヂストン,ゴム製品,4149.0,3883.7,3527.6,True,True,-,38.4,40.6,18.9,True,63.9,156.67,145.28,11.39,112.9,4.54
7309.T,シマノ,輸送用機器,20180.0,19080.8,17449.9,True,True,-,37.8,35.1,17.5,True,63.1,651.75,676.76,-25.01,592.9,4.51
4689.T,ＬＩＮＥヤフー,情報・通信業,505.3,459.3,431.2,True,True,-,37.2,45.4,14.1,True,74.9,16.48,11.98,4.5,14.3,4.49
4661.T,オリエンタルランド,サービス業,2994.5,2842.2,2476.2,True,True,-,35.8,30.3,16.3,True,60.0,114.26,123.88,-9.62,99.4,4.43
6701.T,日本電気,電気機器,5102.0,4578.3,4257.7,True,True,-,32.1,38.5,13.8,True,69.7,191.14,161.19,29.95,185.8,4.28
4578.T,大塚ホールディングス,医薬品,12065.0,11497.8,11112.4,True,True,-,30.6,29.2,15.8,True,57.0,354.79,288.2,66.58,426.2,4.22
2502.T,アサヒグループホールディングス,食料品,1713.5,1653.8,1560.1,True,True,-,29.9,35.9,18.1,True,60.8,27.86,29.92,-2.06,42.7,4.2
7267.T,本田技研工業,輸送用機器,1665.0,1591.0,1466.5,True,True,-,29.6,27.6,17.3,True,60.2,42.02,41.56,0.46,46.1,4.18
8630.T,ＳＯＭＰＯホールディングス,保険業,7080.0,6917.4,6360.3,True,True,-,29.3,32.6,21.0,True,58.9,120.95,149.9,-28.95,154.5,4.17
6758.T,ソニーグループ,電気機器,3887.0,3573.6,3449.0,True,True,-,26.7,35.6,14.8,True,67.0,94.82,80.31,14.52,124.0,4.07
8053.T,住友商事,卸売業,1794.0,1644.9,1662.7,True,False,接近中,25.5,31.5,9.9,True,71.5,51.11,33.81,17.3,51.5,4.02
7751.T,キヤノン,電気機器,4647.0,4498.0,4272.3,True,True,-,25.3,33.4,15.6,True,60.2,67.87,66.3,1.57,97.0,4.01
4543.T,テルモ,精密機器,2666.5,2320.3,2243.1,True,True,-,25.0,43.6,13.1,True,74.2,91.97,52.47,39.5,81.9,4.0
6861.T,キーエンス,電気機器,87520.0,78602.8,77549.2,True,True,-,24.5,35.2,20.7,True,66.5,3007.48,2036.18,971.3,2844.0,3.98
8309.T,三井住友トラストグループ,銀行業,1755.0,1680.4,1526.2,True,True,-,22.0,30.0,17.4,True,67.6,32.91,31.17,1.74,42.2,3.88
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,4878.0,4770.2,4485.2,True,True,-,21.1,31.5,23.8,True,59.1,76.01,93.04,-17.02,103.7,3.84
8308.T,りそなホールディングス,銀行業,2478.0,2316.2,2168.9,True,True,-,20.6,39.0,17.2,True,64.1,39.25,23.72,15.53,77.1,3.82
4568.T,第一三共,医薬品,2754.0,2737.4,2647.1,True,True,-,19.5,28.8,21.3,True,52.9,16.83,14.46,2.37,86.6,3.78
8306.T,三菱ＵＦＪフィナンシャル・グループ,銀行業,3708.0,3600.8,3270.4,True,True,-,18.3,31.9,21.8,True,60.5,55.28,60.31,-5.03,100.0,3.73
