ticker,name,sector33,price,ma25,ma75,price_above_ma25,ma25_above_ma75,cross_status,adx14,plus_di,minus_di,obv_confirm,adx_early_signal,rsi14,macd,macd_signal,macd_hist,atr14,score
9507.T,四国電力,電気・ガス業,1798.5,1625.8,1534.6,True,True,ゴールデンクロス済み,44.7,34.1,7.2,True,False,79.9,73.03,61.93,11.1,41.4,6.79
6417.T,ＳＡＮＫＹＯ,機械,1931.0,1801.5,1711.3,True,True,ゴールデンクロス済み,43.0,33.9,11.9,True,False,70.9,67.75,63.85,3.89,47.6,6.72
6501.T,日立製作所,電気機器,5767.0,5163.5,4962.9,True,True,ゴールデンクロス済み,38.5,34.4,8.8,True,False,79.4,246.69,196.85,49.84,158.1,6.54
9434.T,ソフトバンク,情報・通信業,234.9,225.4,218.7,True,True,ゴールデンクロス済み,38.0,32.6,12.2,True,False,63.1,4.34,3.95,0.4,5.0,6.52
9104.T,商船三井,海運業,6471.0,5890.5,5676.6,True,True,ゴールデンクロス済み,32.4,36.7,11.4,True,False,71.8,215.92,170.78,45.14,165.3,6.3
9843.T,ニトリホールディングス,小売業,2983.0,2624.8,2514.8,True,True,ゴールデンクロス済み,32.2,36.9,14.5,True,True,66.5,138.36,99.82,38.53,116.8,6.29
7974.T,任天堂,その他製品,8900.0,7623.1,7352.1,True,True,ゴールデンクロス済み,31.4,43.4,13.0,True,False,72.1,382.79,251.88,130.91,300.1,6.26
8001.T,伊藤忠商事,卸売業,2064.5,1991.5,1936.8,True,True,ゴールデンクロス済み,30.5,28.1,12.4,True,False,63.9,42.71,39.21,3.5,45.9,6.22
8015.T,豊田通商,卸売業,7325.0,6704.7,6565.0,True,True,ゴールデンクロス済み,29.5,32.8,15.0,True,True,67.9,276.66,234.21,42.45,241.8,6.18
9766.T,コナミグループ,情報・通信業,21990.0,19989.4,19324.2,True,True,ゴールデンクロス済み,28.6,34.2,16.1,True,False,64.7,780.18,650.61,129.57,864.3,6.14
8473.T,ＳＢＩホールディングス,証券、商品先物取引業,3070.0,2919.5,2909.4,True,True,ゴールデンクロス済み,26.8,30.2,12.1,True,True,59.6,70.16,57.52,12.64,87.6,6.07
6645.T,オムロン,電気機器,7004.0,5891.7,5819.0,True,True,ゴールデンクロス済み,26.5,41.1,13.1,True,True,70.0,357.64,195.11,162.52,324.5,6.06
6301.T,小松製作所,機械,7302.0,6869.7,6648.7,True,True,ゴールデンクロス済み,26.4,32.1,15.7,True,True,60.7,214.24,188.66,25.58,218.0,6.06
4503.T,アステラス製薬,医薬品,2356.5,2226.2,2213.9,True,True,ゴールデンクロス済み,23.4,28.7,13.3,True,True,64.3,46.33,31.81,14.51,59.9,5.94
5838.T,楽天銀行,銀行業,6057.0,5611.4,5494.0,True,True,ゴールデンクロス済み,22.2,34.3,11.2,True,True,64.0,129.3,73.73,55.57,258.0,5.89
3048.T,ビックカメラ,小売業,1727.5,1711.1,1700.6,True,True,ゴールデンクロス済み,21.0,25.1,19.6,True,False,53.1,8.85,10.9,-2.05,35.6,5.84
6702.T,富士通,電気機器,3841.0,3522.4,3406.8,True,True,ゴールデンクロス済み,19.9,36.2,17.9,True,True,64.4,110.99,87.24,23.75,135.0,5.8
3038.T,神戸物産,卸売業,2785.0,2746.7,2699.9,True,True,ゴールデンクロス済み,19.6,23.6,17.2,True,True,52.9,30.75,33.26,-2.52,77.5,5.78
3659.T,ネクソン,情報・通信業,2521.5,2390.6,2319.7,True,True,ゴールデンクロス済み,19.3,23.9,14.6,True,False,61.7,59.01,52.81,6.2,90.0,5.77
9041.T,近鉄グループホールディングス,陸運業,3555.0,3500.6,3486.3,True,True,ゴールデンクロス済み,19.1,30.0,13.1,True,True,56.4,21.02,15.07,5.95,76.0,5.76
9503.T,関西電力,電気・ガス業,2401.0,2371.8,2343.5,True,True,ゴールデンクロス済み,17.5,16.2,20.0,True,False,54.9,15.32,18.16,-2.84,50.8,5.7
2282.T,日本ハム,食料品,6307.0,6220.1,6151.3,True,True,ゴールデンクロス済み,16.6,27.4,23.2,True,False,54.4,9.31,4.38,4.93,163.0,5.66
2331.T,ＡＬＳＯＫ,サービス業,1168.5,1150.1,1122.8,True,True,ゴールデンクロス済み,15.7,22.4,15.6,True,False,56.0,11.49,13.05,-1.56,29.0,5.63
3116.T,トヨタ紡織,輸送用機器,2241.5,2240.0,2229.2,True,True,ゴールデンクロス済み,13.5,24.1,25.1,True,False,51.1,-0.89,2.47,-3.36,57.5,5.54
9404.T,日本テレビホールディングス,情報・通信業,2905.0,2894.8,2879.3,True,True,ゴールデンクロス済み,13.5,24.9,23.5,True,False,51.6,6.63,7.39,-0.76,77.3,5.54
8020.T,兼松,卸売業,2210.5,2130.8,2123.6,True,True,ゴールデンクロス済み,13.2,21.3,20.1,True,True,64.3,28.88,20.55,8.33,59.7,5.53
6770.T,アルプスアルパイン,電気機器,2210.5,2149.8,2139.5,True,True,ゴールデンクロス済み,12.7,19.2,17.6,True,False,56.2,18.3,12.53,5.77,74.0,5.51
7013.T,ＩＨＩ,機械,3028.0,2817.1,2768.9,True,True,ゴールデンクロス済み,11.2,28.3,20.6,True,True,61.7,42.06,13.87,28.19,127.2,5.45
7832.T,バンダイナムコホールディングス,その他製品,5435.0,4589.2,4018.0,True,True,-,52.6,43.5,10.5,True,False,75.3,363.72,294.19,69.54,207.3,5.0
5401.T,日本製鉄,鉄鋼,676.3,634.8,581.3,True,True,-,49.9,37.7,12.7,True,False,67.1,27.85,28.34,-0.49,15.7,5.0
7550.T,ゼンショーホールディングス,小売業,11350.0,9960.4,8702.6,True,True,-,50.8,45.8,9.4,True,False,74.0,671.44,576.93,94.5,347.6,5.0
8303.T,ＳＢＩ新生銀行,銀行業,1595.5,1484.4,1493.1,True,False,接近中,99.9,0.1,99.9,True,False,0.1,-242257.87,-356294.53,114036.66,29467.3,5.0
7272.T,ヤマハ発動機,輸送用機器,1949.0,1500.4,1299.5,True,True,-,52.2,48.6,7.9,True,False,83.0,182.68,138.73,43.95,75.4,5.0
6448.T,ブラザー工業,電気機器,4744.0,4111.8,3776.6,True,True,-,47.8,41.6,5.6,True,False,85.5,239.79,172.66,67.13,127.7,4.91
7203.T,トヨタ自動車,輸送用機器,3020.0,2961.5,2910.5,True,True,ゴールデンクロス済み,22.1,29.9,18.5,False,False,55.9,30.17,32.89,-2.72,76.9,4.88
9506.T,東北電力,電気・ガス業,1254.0,1172.2,1085.7,True,True,-,44.5,28.2,10.5,True,False,80.3,38.34,34.57,3.77,25.2,4.78
6098.T,リクルートホールディングス,サービス業,16455.0,13385.0,11221.2,True,True,-,44.2,46.8,12.8,True,False,79.1,1175.46,792.77,382.7,652.7,4.77
9069.T,センコーグループホールディングス,陸運業,2305.0,2205.1,2020.2,True,True,-,43.9,33.3,7.6,True,False,73.2,60.98,60.34,0.64,49.1,4.76
9697.T,カプコン,情報・通信業,4180.0,3727.8,3305.9,True,True,-,43.9,35.8,12.8,True,False,67.1,233.14,221.67,11.47,166.6,4.76
2914.T,日本たばこ産業,食料品,7132.0,6667.5,6207.4,True,True,-,43.8,36.2,13.3,True,False,68.7,241.0,230.37,10.63,161.0,4.75
7846.T,パイロットコーポレーション,その他製品,1983.0,1840.5,1696.2,True,True,-,43.4,39.8,12.5,True,False,71.9,65.5,52.39,13.11,45.3,4.74
4733.T,オービックビジネスコンサルタント,情報・通信業,8246.0,7525.8,6564.2,True,True,-,42.5,35.1,14.1,True,False,71.6,403.15,416.39,-13.24,281.7,4.7
6305.T,日立建機,機械,5556.0,5421.2,5342.7,True,True,ゴールデンクロス済み,16.8,24.2,15.8,False,True,54.1,70.27,61.8,8.48,176.7,4.67
8410.T,セブン銀行,銀行業,336.1,317.5,290.6,True,True,-,41.2,34.2,12.5,True,False,68.2,9.93,9.58,0.34,8.4,4.65
6457.T,グローリー,機械,4925.0,4516.6,4198.9,True,True,-,41.0,27.1,9.1,True,False,70.2,182.68,163.72,18.96,130.3,4.64
4613.T,関西ペイント,化学,2938.0,2801.4,2585.7,True,True,-,40.7,33.7,12.2,True,False,63.8,79.04,74.42,4.62,65.4,4.63
8304.T,あおぞら銀行,銀行業,3434.0,3118.7,2838.5,True,True,-,39.8,32.7,7.0,True,False,82.0,135.13,114.67,20.45,85.5,4.59
4768.T,大塚商会,情報・通信業,3536.0,3221.4,2968.8,True,True,-,38.6,41.6,14.1,True,False,68.3,146.35,133.97,12.38,106.7,4.54
5108.T,ブリヂストン,ゴム製品,4133.0,3905.5,3539.5,True,True,-,38.3,38.3,17.8,True,False,63.3,149.65,145.95,3.7,111.2,4.53
4689.T,ＬＩＮＥヤフー,情報・通信業,506.3,461.7,432.4,True,True,-,38.3,41.9,13.0,True,False,75.2,17.52,13.1,4.42,14.4,4.53
7309.T,シマノ,輸送用機器,20130.0,19200.4,17498.3,True,True,-,37.5,33.0,16.5,True,False,62.7,625.02,665.77,-40.75,585.9,4.5
3697.T,ＳＨＩＦＴ,情報・通信業,956.1,832.0,719.5,True,True,-,37.3,31.9,12.6,True,False,66.3,54.17,51.04,3.13,53.2,4.49
5020.T,ＥＮＥＯＳホールディングス,石油・石炭製品,1291.0,1293.3,1279.5,False,True,ゴールデンクロス済み,12.2,18.4,16.6,True,False,50.8,5.31,8.92,-3.62,37.1,4.49
3941.T,レンゴー,パルプ・紙,1636.5,1514.6,1423.2,True,True,-,36.8,36.1,9.7,True,False,71.4,50.18,41.6,8.58,41.0,4.47
3405.T,クラレ,化学,1881.5,1832.1,1703.8,True,True,-,35.7,34.4,15.3,True,False,58.2,41.54,44.73,-3.19,54.3,4.43
